char1,char1wins,char2wins,char2,p1id,p2id
Ice Climbers,3,2,Fox,39,49
Ice Climbers,2,0,Fox,39,381
Ice Climbers,3,1,Captain Falcon,39,391
Ice Climbers,2,0,Ice Climbers,39,517
Sheik,2,3,Samus,40,43
Sheik,0,5,Sheik,40,403
Sheik,3,2,Captain Falcon,40,448
Sheik,2,0,Fox,40,453
Samus,3,2,Fox,43,47
Samus,2,1,Fox,43,49
Samus,3,0,Fox,43,55
Samus,1,3,Fox,43,378
Samus,0,3,Ice Climbers,43,392
Samus,1,3,Sheik,43,403
Samus,1,1,Captain Falcon,43,430
Samus,0,1,Ganon,43,430
Samus,3,1,Peach,43,437
Fox,2,1,Ice Climbers,46,407
Fox,1,0,Fox,47,390
Fox,1,0,Marth,47,390
Fox,3,0,Fox,47,400
Fox,6,2,Sheik,47,403
Fox,2,2,Fox,47,433
Fox,0,2,Captain Falcon,47,448
Fox,3,1,Fox,47,453
Fox,0,3,Fox,49,400
Fox,0,3,Captain Falcon,49,430
Fox,3,2,Marth,49,516
Fox,1,2,Ice Climbers,49,517
Fox,3,2,Luigi,51,410
Fox,1,0,Falco,378,403
Fox,5,4,Sheik,378,403
Fox,1,2,Marth,378,3869
Fox,2,1,Sheik,379,413
Fox,1,2,Fox,381,432
Fox,2,0,Sheik,381,491
Fox,3,1,Fox,381,2027
Fox,0,2,Sheik,384,403
Jigglypuff,2,0,Falco,388,395
Jigglypuff,0,2,Sheik,388,403
Jigglypuff,1,2,Captain Falcon,388,430
Marth,2,0,Luigi,390,471
Captain Falcon,2,3,Fox,391,460
Ice Climbers,1,3,Peach,392,403
Ice Climbers,1,0,Captain Falcon,392,430
Ice Climbers,2,1,Ganon,392,430
Ice Climbers,3,2,Fox,392,453
Fox,1,2,Captain Falcon,432,436
Fox,5,4,Sheik,400,403
Fox,2,0,Fox,400,447
Fox,1,0,Marth,400,447
Sheik,3,0,Fox,403,2027
Ice Climbers,2,3,Samus,407,409
Captain Falcon,2,3,Fox,430,441
Captain Falcon,0,2,Captain Falcon,430,448
Captain Falcon,1,3,Fox,430,2027
Sheik,2,0,Marth,431,446
Fox,2,0,Marth,433,516
